Year,Month,Day,Decimal,PPM
2025,1,1,426.16,424.64
2025,1,2,426.19,424.64
2025,1,3,426.21,424.65
2025,1,4,426.24,424.66
2025,1,5,426.26,424.67
2025,1,6,426.28,424.68
2025,1,7,426.31,424.68
2025,1,8,426.33,424.69
2025,1,9,426.35,424.70
2025,1,10,426.38,424.71
2025,1,11,426.40,424.71
2025,1,12,426.42,424.72
2025,1,13,426.44,424.73
2025,1,14,426.47,424.74
2025,1,15,426.49,424.74
2025,1,16,426.51,424.75
2025,1,17,426.53,424.76
2025,1,18,426.55,424.77
2025,1,19,426.57,424.78
2025,1,20,426.59,424.78
2025,1,21,426.61,424.79
2025,1,22,426.63,424.80
2025,1,23,426.65,424.81
2025,1,24,426.67,424.81
2025,1,25,426.69,424.82
2025,1,26,426.71,424.83
2025,1,27,426.73,424.84
2025,1,28,426.75,424.84
2025,1,29,426.77,424.85
2025,1,30,426.79,424.86
2025,1,31,426.81,424.87
2025,2,1,426.83,424.87
2025,2,2,426.84,424.88
2025,2,3,426.86,424.89
2025,2,4,426.88,424.89
2025,2,5,426.89,424.90
2025,2,6,426.91,424.91
2025,2,7,426.93,424.92
2025,2,8,426.94,424.92
2025,2,9,426.96,424.93
2025,2,10,426.97,424.94
2025,2,11,426.99,424.95
2025,2,12,427.00,424.95
2025,2,13,427.02,424.96
2025,2,14,427.03,424.97
2025,2,15,427.04,424.97
2025,2,16,427.05,424.98
2025,2,17,427.07,424.99
2025,2,18,427.08,425.00
2025,2,19,427.09,425.00
2025,2,20,427.10,425.01
2025,2,21,427.11,425.02
2025,2,22,427.12,425.02
2025,2,23,427.12,425.03
2025,2,24,427.13,425.04
2025,2,25,427.14,425.05
2025,2,26,427.15,425.05
2025,2,27,427.15,425.06
2025,2,28,427.16,425.07
2025,3,1,427.17,425.07
2025,3,2,427.17,425.08
2025,3,3,427.18,425.09
2025,3,4,427.18,425.09
2025,3,5,427.19,425.10
2025,3,6,427.19,425.11
2025,3,7,427.19,425.11
2025,3,8,427.20,425.12
2025,3,9,427.20,425.13
2025,3,10,427.20,425.14
2025,3,11,427.20,425.14
2025,3,12,427.20,425.15
2025,3,13,427.21,425.16
2025,3,14,427.21,425.16
2025,3,15,427.21,425.17
2025,3,16,427.21,425.18
2025,3,17,427.21,425.18
2025,3,18,427.22,425.19
2025,3,19,427.22,425.20
2025,3,20,427.22,425.20
2025,3,21,427.22,425.21
2025,3,22,427.22,425.22
2025,3,23,427.22,425.22
2025,3,24,427.23,425.23
2025,3,25,427.23,425.24
2025,3,26,427.23,425.24
2025,3,27,427.24,425.25
2025,3,28,427.24,425.26
2025,3,29,427.24,425.26
2025,3,30,427.25,425.27
2025,3,31,427.25,425.28
2025,4,1,427.26,425.28
2025,4,2,427.26,425.29
2025,4,3,427.27,425.30
2025,4,4,427.28,425.30
2025,4,5,427.28,425.31
2025,4,6,427.29,425.31
2025,4,7,427.30,425.32
2025,4,8,427.31,425.33
2025,4,9,427.31,425.33
2025,4,10,427.32,425.34
2025,4,11,427.33,425.35
2025,4,12,427.34,425.35
2025,4,13,427.35,425.36
2025,4,14,427.36,425.37
2025,4,15,427.38,425.37
2025,4,16,427.39,425.38
2025,4,17,427.40,425.39
2025,4,18,427.41,425.39
2025,4,19,427.42,425.40
2025,4,20,427.44,425.40
2025,4,21,427.45,425.41
2025,4,22,427.46,425.42
2025,4,23,427.48,425.42
2025,4,24,427.49,425.43
2025,4,25,427.50,425.44
2025,4,26,427.52,425.44
2025,4,27,427.53,425.45
2025,4,28,427.54,425.45
2025,4,29,427.55,425.46
2025,4,30,427.56,425.47
2025,5,1,427.58,425.47
2025,5,2,427.59,425.48
2025,5,3,427.60,425.49
2025,5,4,427.61,425.49
2025,5,5,427.62,425.50
2025,5,6,427.62,425.50
2025,5,7,427.63,425.51
2025,5,8,427.64,425.52
2025,5,9,427.64,425.52
2025,5,10,427.65,425.53
2025,5,11,427.65,425.54
2025,5,12,427.65,425.54
2025,5,13,427.66,425.55
2025,5,14,427.66,425.55
2025,5,15,427.65,425.56
2025,5,16,427.65,425.57
2025,5,17,427.64,425.57
2025,5,18,427.64,425.58
2025,5,19,427.63,425.58
2025,5,20,427.62,425.59
2025,5,21,427.61,425.60
2025,5,22,427.59,425.60
2025,5,23,427.58,425.61
2025,5,24,427.56,425.61
2025,5,25,427.54,425.62
2025,5,26,427.52,425.63
2025,5,27,427.50,425.63
2025,5,28,427.47,425.64
2025,5,29,427.44,425.65
2025,5,30,427.41,425.65
2025,5,31,427.38,425.66
2025,6,1,427.35,425.66
2025,6,2,427.31,425.67
2025,6,3,427.27,425.68
2025,6,4,427.23,425.68
2025,6,5,427.19,425.69
2025,6,6,427.14,425.69
2025,6,7,427.09,425.70
2025,6,8,427.04,425.71
2025,6,9,426.99,425.71
2025,6,10,426.93,425.72
2025,6,11,426.88,425.72
2025,6,12,426.82,425.73
2025,6,13,426.76,425.74
2025,6,14,426.70,425.74
2025,6,15,426.63,425.75
2025,6,16,426.56,425.75
2025,6,17,426.50,425.76
2025,6,18,426.42,425.76
2025,6,19,426.35,425.77
2025,6,20,426.28,425.78
2025,6,21,426.20,425.78
2025,6,22,426.13,425.79
2025,6,23,426.05,425.79
2025,6,24,425.97,425.80
2025,6,25,425.88,425.81
2025,6,26,425.80,425.81
2025,6,27,425.72,425.82
2025,6,28,425.63,425.82
2025,6,29,425.55,425.83
2025,6,30,425.46,425.84
2025,7,1,425.37,425.84
2025,7,2,425.28,425.85
2025,7,3,425.20,425.85
2025,7,4,425.11,425.86
2025,7,5,425.02,425.87
2025,7,6,424.93,425.87
2025,7,7,424.84,425.88
2025,7,8,424.75,425.88
2025,7,9,424.66,425.89
2025,7,10,424.57,425.90
2025,7,11,424.48,425.90
2025,7,12,424.39,425.91
2025,7,13,424.30,425.91
2025,7,14,424.21,425.92
2025,7,15,424.13,425.92
2025,7,16,424.04,425.93
2025,7,17,423.95,425.94
2025,7,18,423.87,425.94
2025,7,19,423.79,425.95
2025,7,20,423.70,425.95
2025,7,21,423.62,425.96
2025,7,22,423.54,425.97
2025,7,23,423.47,425.97
2025,7,24,423.39,425.98
2025,7,25,423.31,425.98
2025,7,26,423.24,425.99
2025,7,27,423.17,426.00
2025,7,28,423.10,426.00
2025,7,29,423.03,426.01
2025,7,30,422.97,426.01
2025,7,31,422.91,426.02
2025,8,1,422.84,426.02
2025,8,2,422.79,426.03
2025,8,3,422.73,426.04
2025,8,4,422.67,426.04
2025,8,5,422.62,426.05
2025,8,6,422.57,426.05
2025,8,7,422.53,426.06
2025,8,8,422.48,426.07
2025,8,9,422.44,426.07
2025,8,10,422.40,426.08
2025,8,11,422.36,426.08
2025,8,12,422.33,426.09
2025,8,13,422.30,426.10
2025,8,14,422.27,426.10
2025,8,15,422.24,426.11
2025,8,16,422.22,426.11
2025,8,17,422.19,426.12
2025,8,18,422.17,426.13
2025,8,19,422.16,426.13
2025,8,20,422.14,426.14
2025,8,21,422.13,426.14
2025,8,22,422.12,426.15
2025,8,23,422.12,426.16
2025,8,24,422.12,426.16
2025,8,25,422.11,426.17
2025,8,26,422.12,426.17
2025,8,27,422.12,426.18
2025,8,28,422.13,426.18
2025,8,29,422.14,426.19
2025,8,30,422.15,426.20
2025,8,31,422.16,426.20
2025,9,1,422.18,426.21
2025,9,2,422.19,426.21
2025,9,3,422.21,426.22
2025,9,4,422.24,426.23
2025,9,5,422.26,426.23
2025,9,6,422.29,426.24
2025,9,7,422.32,426.24
2025,9,8,422.35,426.25
2025,9,9,422.38,426.26
2025,9,10,422.42,426.26
2025,9,11,422.45,426.27
2025,9,12,422.49,426.27
2025,9,13,422.53,426.28
2025,9,14,422.57,426.29
2025,9,15,422.61,426.29
2025,9,16,422.66,426.30
2025,9,17,422.71,426.31
2025,9,18,422.75,426.31
2025,9,19,422.80,426.32
2025,9,20,422.85,426.32
2025,9,21,422.90,426.33
2025,9,22,422.96,426.34
2025,9,23,423.01,426.34
2025,9,24,423.07,426.35
2025,9,25,423.12,426.35
2025,9,26,423.18,426.36
2025,9,27,423.24,426.37
2025,9,28,423.30,426.37
2025,9,29,423.36,426.38
2025,9,30,423.42,426.38
2025,10,1,423.48,426.39
2025,10,2,423.54,426.40
2025,10,3,423.60,426.40
2025,10,4,423.66,426.41
2025,10,5,423.73,426.42
2025,10,6,423.79,426.42
2025,10,7,423.85,426.43
2025,10,8,423.92,426.43
2025,10,9,423.98,426.44
2025,10,10,424.05,426.45
2025,10,11,424.11,426.45
2025,10,12,424.18,426.46
2025,10,13,424.24,426.47
2025,10,14,424.31,426.47
2025,10,15,424.37,426.48
2025,10,16,424.44,426.48
2025,10,17,424.50,426.49
2025,10,18,424.57,426.50
2025,10,19,424.64,426.50
2025,10,20,424.70,426.51
2025,10,21,424.77,426.52
2025,10,22,424.83,426.52
2025,10,23,424.90,426.53
2025,10,24,424.96,426.53
2025,10,25,425.02,426.54
2025,10,26,425.09,426.55
2025,10,27,425.15,426.55
2025,10,28,425.22,426.56
2025,10,29,425.28,426.57
2025,10,30,425.34,426.57
2025,10,31,425.41,426.58
2025,11,1,425.47,426.58
2025,11,2,425.53,426.59
2025,11,3,425.59,426.60
2025,11,4,425.66,426.60
2025,11,5,425.72,426.61
2025,11,6,425.78,426.62
2025,11,7,425.84,426.62
2025,11,8,425.90,426.63
2025,11,9,425.96,426.64
2025,11,10,426.02,426.64
2025,11,11,426.08,426.65
2025,11,12,426.14,426.66
2025,11,13,426.20,426.66
2025,11,14,426.26,426.67
2025,11,15,426.32,426.67
2025,11,16,426.38,426.68
2025,11,17,426.44,426.69
2025,11,18,426.50,426.69
2025,11,19,426.56,426.70
2025,11,20,426.61,426.71
2025,11,21,426.67,426.71
2025,11,22,426.73,426.72
2025,11,23,426.78,426.73
2025,11,24,426.84,426.73
2025,11,25,426.90,426.74
2025,11,26,426.95,426.75
2025,11,27,427.01,426.75
2025,11,28,427.06,426.76
2025,11,29,427.12,426.77
2025,11,30,427.17,426.77
2025,12,1,427.22,426.78
2025,12,2,427.28,426.79
2025,12,3,427.33,426.79
2025,12,4,427.38,426.80
2025,12,5,427.43,426.81
2025,12,6,427.48,426.81
2025,12,7,427.53,426.82
2025,12,8,427.58,426.83
2025,12,9,427.63,426.83
2025,12,10,427.67,426.84
2025,12,11,427.72,426.85
2025,12,12,427.77,426.85
2025,12,13,427.81,426.86
2025,12,14,427.86,426.87
2025,12,15,427.90,426.87
2025,12,16,427.94,426.88
2025,12,17,427.98,426.89
2025,12,18,428.02,426.89
2025,12,19,428.06,426.90
2025,12,20,428.10,426.91
2025,12,21,428.14,426.91
2025,12,22,428.17,426.92
2025,12,23,428.21,426.93
2025,12,24,428.24,426.93
2025,12,25,428.27,426.94
2025,12,26,428.30,426.95
2025,12,27,428.33,426.95
2025,12,28,428.36,426.96
2025,12,29,428.39,426.97
2025,12,30,428.42,426.98
2025,12,31,428.44,426.98
2026,1,1,428.47,426.99
2026,1,2,428.49,427.00
2026,1,3,428.51,427.00
2026,1,4,428.53,427.01
2026,1,5,428.55,427.02
2026,1,6,428.57,427.02
2026,1,7,428.59,427.03
